species,life.form,individuals,samples,diet.1,diet.2,mass_g,unique_name
Arremon brunneinucha,bird,39,4,invertivore,granivore,NA,Arremon brunneinucha
Atlapetes brunneinucha,bird,11,2,invertivore,granivore,NA,Arremon brunneinucha
Buarremon brunneinucha,bird,1,1,invertivore,granivore,43.97612989,Arremon brunneinucha
Arremon torquatus,bird,28,3,omnivore,omnivore,NA,Buarremon torquatus
Atlapetes torquatus,bird,19,1,omnivore,omnivore,NA,Buarremon torquatus
Chloroceryle aenae,bird,3,1,piscivore,aquaticinvertivore,NA,Chloroceryle aenea
Chloroceryle aenea,bird,43,16,piscivore,aquaticinvertivore,13.75608956,Chloroceryle aenea
Epinecrophylla ornata,bird,1,1,invertivore,NA,NA,Epinecrophylla ornata
Myrmotherula ornata,bird,2,1,invertivore,NA,9.4,Epinecrophylla ornata
Laniocera hypopirrha,bird,1,1,invertivore,frugivore,NA,Laniocera hypopyrra
Laniocera hypopyrha,bird,3,2,invertivore,frugivore,NA,Laniocera hypopyrra
Laniocera hypopyrrha,bird,1,1,invertivore,frugivore,NA,Laniocera hypopyrra
Lepidothrix coronata,bird,81,6,frugivore,invertivore,NA,Lepidothrix coronata
Pipra coronata,bird,203,7,frugivore,invertivore,8,Lepidothrix coronata
Megarhynchus pitangua,bird,5,1,invertivore,omnivore,NA,Megarynchus pitangua
Megarynchus pitangua,bird,20,10,invertivore,omnivore,66.6183158,Megarynchus pitangua
Megascops choliba,bird,1,1,invertivore,carnivore,132,Megascops choliba
Otus choliba,bird,1,1,invertivore,carnivore,NA,Megascops choliba
Guiraca caerulea,bird,8,3,invertivore,granivore,NA,Passerina caerulea
Passerina caerulea,bird,4,1,invertivore,granivore,27.8,Passerina caerulea
Pitangus sulfuratus,bird,1,1,omnivore,NA,NA,Pitangus sulphuratus
Pitangus sulphuratus,bird,115,14,omnivore,NA,62.85040512,Pitangus sulphuratus
Carduelis psaltria,bird,2,1,granivore,frugivore,8.77211491,Spinus psaltria
Spinus psaltria,bird,6,2,granivore,frugivore,NA,Spinus psaltria
Tangara sayaca,bird,9,2,frugivore,invertivore,NA,Tangara sayaca
Thraupis sayaca,bird,56,7,frugivore,invertivore,32.49615362,Tangara sayaca
Thlipopsis sordida,bird,8,1,invertivore,frugivore,NA,Thlypopsis sordida
Thlypopsis sordida,bird,3,1,invertivore,frugivore,17,Thlypopsis sordida
Turdus amaurochalinus,bird,117,15,invertivore,frugivore,57.9,Turdus amaurochalinus
Turdus amourochalymus,bird,2,1,invertivore,frugivore,NA,Turdus amaurochalinus
Platycichla flavipes,bird,10,2,frugivore,invertivore,61.96773354,Turdus flavipes
Turdus flavipes,bird,66,3,frugivore,invertivore,NA,Turdus flavipes
Platycichla leucops,bird,1,1,frugivore,invertivore,62.4,Turdus leucops
Turdus leucops,bird,3,2,frugivore,invertivore,NA,Turdus leucops
